day_of_week,table_slot,table_size,slope,intercept,observation_count,,,0.1,0.2,0.4,0.2,0.1,,
3,11:30,4,4.13E-09,0.9925761573,1966,,,,,,,,,
3,12:00,2,3.90E-08,0.9268408655,1988,,,,,,,,,
3,12:00,4,1.46E-08,0.9738421092,1966,,,,,,,,,
3,12:30,2,1.34E-07,0.6486887971,1988,,,,,,,,,
3,12:30,4,2.90E-08,0.9158362273,1966,,,,,,,,,
3,13:00,2,2.78E-08,0.946928078,1988,,,,,,,,,
3,13:00,4,-1.91E-09,0.003522918597,1966,,,,,,,,,
3,13:30,2,8.65E-09,0.9841063092,1988,,,,,,,,,
3,13:30,4,7.33E-08,0.8575187256,1966,,,,,,,,,
3,14:00,2,2.31E-08,0.9574854,1988,,,,,,,,,
3,14:00,4,2.22E-09,0.9960713131,1966,,,,,,,,,
3,14:15,2,-1.03E-08,0.01917774942,956,,,,,,,,,
3,14:30,2,0,1,1988,,,,,,,,,
3,14:30,4,0,1,1966,,,,,,,,,
3,15:00,2,0,1,1988,,,,,,,,,
3,15:00,4,1.29E-07,0.7299579052,1966,,,,,,,,,
3,15:15,2,-3.71E-08,0.07044899473,985,,,,,,,,,
3,15:30,2,-3.67E-08,0.06721537259,1983,,,,,,,,,
3,15:30,4,6.54E-08,0.8742708893,1961,,,,,,,,,
3,15:45,2,2.66E-08,0.9492502458,1988,,,,,,,,,
3,15:45,4,1.53E-07,0.5874025336,1966,,,,,,,,,
3,17:00,2,1.72E-08,0.967953384,2006,,,,,,,,,
3,17:00,4,4.64E-08,0.9110921251,1976,,,,,,,,,
3,17:30,2,4.45E-08,0.9104867257,2006,,,,,,,,,
3,17:30,4,7.86E-08,0.8443422345,1984,,,,,,,,,
3,18:00,2,1.36E-07,0.6786384997,2006,,,,,,,,,
3,18:00,4,2.98E-07,0.2981716272,1984,,,,,,,,,
3,19:00,2,9.19E-09,0.07657971889,2006,,,,,,,,,
3,19:00,4,2.49E-07,-0.09225515893,1984,,,,,,,,,
3,19:30,2,3.02E-07,0.2575020566,2006,,,,,,,,,
3,19:30,4,4.19E-07,-0.05263872796,1984,,,,,,,,,
3,20:00,2,1.31E-07,0.6683873039,2006,,,,,,,,,
3,20:00,4,3.69E-07,-0.1126818345,1984,,,,,,,,,
3,20:30,2,3.78E-07,0.003412174398,2006,,,,,,,,,
3,20:30,4,-7.24E-09,0.01312558695,1984,,,,,,,,,
3,21:00,2,2.98E-08,0.936961111,2006,,,,,,,,,
3,21:00,4,3.35E-07,0.1795936474,1984,,,,,,,,,
3,21:30,2,2.69E-08,0.9451858889,2006,,,,,,,,,
3,21:30,4,3.40E-07,0.1189694134,1984,,,,,,,,,
3,22:00,2,0,1,2006,,,,,,,,,
3,22:00,4,0,1,1984,,,,,,,,,
3,22:30,2,0,1,2006,,,,,,,,,
3,22:30,4,0,1,1984,,,,,,,,,
3,22:45,2,-7.16E-09,0.8777560389,2019,,,,,,,,,
3,23:00,2,1.09E-09,0.9980570351,2020,,,,,,,,,
3,23:00,4,1.10E-09,0.9980344097,1990,,,,,,,,,
4,8:00,2,0,1,1970,,,,,,,,,
4,8:00,4,0,1,1951,,,,,,,,,
4,8:30,2,2.27E-09,0.9960183518,1970,,,,,,,,,
4,8:30,4,0,1,1951,,,,,,,,,
4,9:00,2,1.35E-07,0.7427710514,1970,,,,,,,,,
4,9:00,4,1.03E-07,0.8051836889,1951,,,,,,,,,
4,9:30,2,2.19E-09,0.9961105558,1970,,,,,,,,,
4,9:30,4,7.64E-08,0.8518225455,1951,,,,,,,,,
4,10:00,2,2.86E-08,0.9446903764,1970,,,,,,,,,
4,10:00,4,2.24E-08,0.9578557622,1951,,,,,,,,,
4,10:30,2,5.67E-09,0.9900174684,1970,,,,,,,,,
4,10:30,4,5.48E-09,0.9897330815,1951,,,,,,,,,
4,10:45,2,7.86E-08,0.8543768216,1981,,,,,,,,,
4,10:45,4,2.66E-08,0.802063638,1951,,,,,,,,,
4,11:30,2,1.04E-09,0.9981345973,1983,,,,,,,,,
4,11:30,4,7.60E-09,0.9864938549,1964,,,,,,,,,
4,12:00,2,4.23E-08,0.9208998094,1983,,,,,,,,,
4,12:00,4,1.77E-08,0.9666301453,1966,,,,,,,,,
4,12:30,2,3.98E-08,0.8040792081,1983,,,,,,,,,
4,12:30,4,1.50E-07,0.7227126721,1966,,,,,,,,,
4,13:00,2,2.30E-08,0.9561929999,1983,,,,,,,,,
4,13:30,2,2.08E-08,0.9534208452,1983,,,,,,,,,
4,13:30,4,5.63E-08,0.8593943292,1966,,,,,,,,,
4,14:00,2,3.05E-08,0.9407119491,1983,,,,,,,,,
4,14:00,4,3.84E-09,0.9929177201,1966,,,,,,,,,
4,14:30,2,0,1,1983,,,,,,,,,
4,14:30,4,0,1,1966,,,,,,,,,
4,14:45,4,-6.98E-09,0.01337343565,959,,,,,,,,,
4,15:00,2,0,1,1983,,,,,,,,,
